model1_loss,model2_loss
0.7146611,0.44052964
0.67200726,0.4380771
0.17559908,0.6583219
0.7288891,0.43012938
0.744477,0.42086965
0.21954758,0.6344505
0.7259226,0.4444071
0.18572624,0.6938637
0.72019845,0.45818084
0.18055052,0.6747451
0.7444666,0.45881587
0.7073705,0.43528044
0.7296629,0.4735556
0.21402773,0.72978944
0.7289134,0.37343192
0.1981367,0.69750583
0.20999719,0.64170295
0.7455448,0.3577632
0.6856739,0.45747903
0.70729566,0.5106325
0.7023255,0.43512106
0.2163492,0.7376957
0.24625987,0.58062965
0.23102146,0.7443718
0.22114336,0.63218665
0.7435791,0.36404315
0.70730025,0.2502191
0.7483166,0.41013795
0.70031255,0.38821563
0.65627277,0.39398703
0.18782596,0.5955272
0.7453119,0.3931147
0.7079002,0.4158375
0.71087235,0.43935725
0.2402032,0.73936343
0.6863806,0.44570804
0.2226772,0.60610205
0.20584984,0.7058755
0.1772075,0.66666484
0.8245205,0.46138585
0.21385477,0.6872103
0.7644893,0.48179775
0.7173634,0.32477424
0.67791224,0.35753906
0.22674136,0.68816966
0.21134871,0.64271903
0.23262356,0.70894086
0.19733085,0.6453745
0.6938346,0.29636705
0.17992672,0.6852248
0.70370257,0.47818545
0.74225664,0.39206374
0.22577697,0.67530876
0.21354933,0.7895467
0.2193056,0.67283547
0.70109564,0.38877577
0.2377687,0.73694324
0.7534167,0.3941778
0.18336633,0.5478461
0.71130824,0.43551219
0.751602,0.22754233
0.20247345,0.57933277
0.2573211,0.6798521
0.23346128,0.64698255
0.67540336,0.3534759
0.24277854,0.7057328
0.6535601,0.47708845
0.19611056,0.56594354
0.21812502,0.7202696
0.68569285,0.42487612
0.21845146,0.59543663
0.70581645,0.43958345
0.22807872,0.67450875
0.6948918,0.46216357
0.6960908,0.44976714
0.19471252,0.5456334
0.6826113,0.44206637
0.7201812,0.39804208
0.68318653,0.4612644
0.22335687,0.739453
0.71763146,0.35946742
0.20758393,0.64104366
0.75079685,0.47063902
0.1936098,0.7235834
0.7219639,0.36934903
0.72535396,0.502827
0.7071824,0.2979842
0.71973825,0.40708426
0.7346105,0.38940877
0.7133789,0.4198956
0.27636752,0.5872319
0.75102115,0.31861117
0.7280337,0.2966661
0.22693329,0.6472649
0.7084386,0.45087123
0.186014,0.65966636
0.70864314,0.50271773
0.6738478,0.3900691
0.17976792,0.72038907
0.728367,0.39641482
0.7257198,0.44476232
0.72990334,0.38178998
0.2232785,0.75912315
0.7087172,0.38283738
0.68585896,0.39971492
0.64991266,0.40258443
0.16813248,0.68014556
0.20589915,0.6173625
0.2546977,0.74225116
0.73949546,0.42107812
0.19921412,0.63508755
0.61538935,0.32473272
0.6342403,0.5529632
0.74282986,0.43356815
0.19734804,0.7186489
0.18636496,0.8005926
0.2085501,0.7248479
0.69001496,0.42834777
0.17673415,0.5758535
0.743928,0.3978832
0.17428397,0.6037385
0.22604322,0.7295582
0.6536906,0.39526114
0.19647847,0.81299967
0.20449908,0.62332565
0.12640278,0.68292654
0.73354244,0.39324424
0.72763395,0.39991277
0.15343948,0.57968545
0.6508677,0.4362727
0.73194236,0.41272157
0.21980576,0.69949746
0.24330473,0.5677474
0.7549566,0.4238626
0.75158274,0.3802143
0.72927904,0.27763402
0.19137304,0.72953594
0.2145562,0.69089144
0.21144076,0.6270569
0.72807086,0.41669518
0.18254505,0.60464275
0.18026707,0.7103961
0.19047944,0.80931145
0.73236614,0.37987527
0.21874756,0.72834486
0.7009416,0.3340694
0.20497926,0.7078712
0.20858979,0.5973508
0.7631105,0.392001
0.6840445,0.4823999
0.6986925,0.40493175
0.22214417,0.6542907
0.24366505,0.73741686
0.23619618,0.6108417
0.2622862,0.6767868
0.65707934,0.41054428
0.6888081,0.34097522
0.18930416,0.7174345
0.22111176,0.65646946
0.20631586,0.6131627
0.21985178,0.6778888
0.1561094,0.57902914
0.21934228,0.7025102
0.21025106,0.6667493
0.26982966,0.6767468
0.19951402,0.6783189
0.77509916,0.40160534
0.684578,0.22972469
0.72173303,0.46717343
0.18025619,0.7579082
0.1844205,0.68435496
0.70878196,0.52385676
0.7167692,0.45431757
0.16685985,0.7592901
0.24086012,0.67066723
0.19510293,0.69782007
0.7617838,0.51427066
0.7335336,0.48379797
0.6595801,0.38184562
0.7130097,0.38982823
0.6912737,0.3584539
