model1_loss,model2_loss
0.87432563,0.89218974
0.84157866,0.9083083
0.837387,0.8492943
0.85924613,0.898565
0.8612329,0.92644155
0.8589446,0.91482896
0.09805187,0.13565451
0.85780007,0.89678556
0.8610852,0.91084737
0.86392546,0.91654843
0.86100423,0.8956134
0.87889,0.8831225
0.86065644,0.88222533
0.09651467,0.13673334
0.8659023,0.88683933
0.85350096,0.91606736
0.0969307,0.10495481
0.8712546,0.89625996
0.086573385,0.09830729
0.09362481,0.096497156
0.084223345,0.10474834
0.86873716,0.88057125
0.8607753,0.9137044
0.09970274,0.09537972
0.08424644,0.11977982
0.864388,0.8914943
0.8616294,0.85330385
0.1059888,0.09462714
0.09253219,0.12734225
0.8749088,0.8958691
0.8907961,0.9090073
0.85725737,0.8611122
0.083446056,0.118989415
0.84598625,0.9043981
0.8609822,0.8994279
0.8426713,0.91717494
0.09232768,0.123644374
0.08557809,0.10536143
0.08650617,0.11388016
0.9004361,0.94238794
0.09236116,0.097308844
0.8753318,0.9016072
0.8727996,0.8813944
0.8599469,0.86976564
0.08722273,0.10433146
0.8569358,0.90979654
0.8512176,0.8684145
0.097097054,0.09808703
0.096139655,0.13233528
0.882942,0.871164
0.87840176,0.94635844
0.086356424,0.11616902
0.09826312,0.15143463
0.8317521,0.83798987
0.866588,0.91807413
0.8617462,0.8675453
0.09981641,0.14212117
0.10284642,0.13874796
0.10629946,0.064075984
0.103659526,0.129059
0.10181453,0.13393737
0.8559574,0.9166521
0.106196426,0.12550454
0.09566446,0.13848673
0.8472045,0.8787434
0.8269459,0.88444287
0.08843032,0.12424092
0.085664,0.10783352
0.099675745,0.11970338
0.8361415,0.83927006
0.8534882,0.93028206
0.86200446,0.8701727
0.84753305,0.88909626
0.081890956,0.13892803
0.07734373,0.115557104
0.8701661,0.9324495
0.09227707,0.1157155
0.09429258,0.10811367
0.08269083,0.12263962
0.08954708,0.12748134
0.85517335,0.8598568
0.08395733,0.095295794
0.09775808,0.11077685
0.08896262,0.11947249
0.0810833,0.1166781
0.8658193,0.9105881
0.86838007,0.83652174
0.07417254,0.12120736
0.07842052,0.10581417
0.87298256,0.9001749
0.091226496,0.09779467
0.8846679,0.87401634
0.85466856,0.8848964
0.09111048,0.099671386
0.08930779,0.107892625
0.90013117,0.8942189
0.87036854,0.91488254
0.10612168,0.08654814
0.86651534,0.86393374
0.87795746,0.86906034
0.09013907,0.101008296
0.8596938,0.8939282
0.108638085,0.12101271
0.8533917,0.9049241
0.88137937,0.8736846
0.8409815,0.8526912
0.863899,0.9015008
0.8595223,0.9051865
0.10403792,0.14413933
0.08809397,0.10754667
0.086063154,0.086893305
0.8475769,0.8805338
0.10503788,0.070569046
0.0879437,0.10463053
0.854693,0.8891243
0.09018838,0.10333853
0.08483506,0.11769703
0.09456664,0.12570786
0.8692671,0.9109341
0.08824061,0.16183321
0.102579884,0.0762323
0.8415914,0.873261
0.107567266,0.109387144
0.05072222,0.20917358
0.8690237,0.8802501
0.08142536,0.105551355
0.8380766,0.8789735
0.082192525,0.14257823
0.87136877,0.90243113
0.10988642,0.13159846
0.10283967,0.11499563
0.08978429,0.11332537
0.85777307,0.9244111
0.09187506,0.14079963
0.09317764,0.15986548
0.8227231,0.8767638
0.83477145,0.88151413
0.8402551,0.91964036
0.09662731,0.11448025
0.106643334,0.13355635
0.082757,0.07392846
0.842875,0.9079915
0.84607786,0.9096669
0.85340285,0.90452534
0.8669895,0.87751836
0.095861696,0.1433127
0.8412864,0.844568
0.08713942,0.123609304
0.08587551,0.122611254
0.86564565,0.8949865
0.84867865,0.85686463
0.07969326,0.09369961
0.861209,0.8749852
0.0925135,0.10707227
0.10736405,0.1432327
0.83515817,0.8502494
0.86618394,0.85944426
0.8693102,0.88490117
0.8589002,0.89408106
0.09278731,0.09004508
0.86581457,0.89950156
0.8832117,0.88914907
0.84291524,0.8871735
0.8590985,0.89398605
0.08151204,0.123732634
0.09842195,0.11204599
0.86118823,0.9087039
0.85883456,0.8521545
0.83774155,0.9046242
0.09551704,0.13078284
0.094453745,0.11826442
0.09556194,0.09524418
0.09163214,0.116884954
0.10909952,0.1342317
0.86201847,0.9011277
0.86432046,0.8780322
0.09735295,0.07291347
0.09338786,0.11025556
0.85384846,0.8565829
0.09564447,0.090727516
0.09991788,0.12718189
0.1087175,0.09571503
0.10626624,0.10280109
0.08899221,0.10237239
0.85138446,0.9204784
0.8525897,0.88447636
0.09410961,0.08868846
0.106346436,0.13117647
0.85683227,0.93361074
0.8561956,0.88540983
0.8599199,0.9074604
0.8615365,0.8954073
0.09546747,0.14598611
0.0937852,0.11127923
0.07433034,0.09226893
0.07933173,0.10610495
0.86248875,0.8969215
0.88198406,0.87150484
0.89180726,0.90133846
0.8748958,0.8802623
0.09283636,0.09862763
0.8546496,0.91247904
0.09312392,0.14417756
0.85868376,0.87056863
0.8725478,0.8898473
0.8646633,0.8252985
0.08087308,0.12291622
0.100370504,0.13684957
0.863912,0.8486753
0.101044506,0.113455005
0.06815145,0.15168168
0.078111686,0.118862934
0.0933305,0.10306075
0.09869265,0.12813462
0.8486244,0.8461532
0.8680333,0.8872597
0.101702414,0.12358921
0.07882435,0.12962285
0.0848008,0.08036242
0.09004148,0.12088741
0.075532995,0.07764013
0.076152235,0.11821162
0.0845501,0.13032775
0.8388549,0.8160981
0.09769709,0.08669905
0.8643942,0.89737344
0.11242488,0.10452926
0.08662919,0.109580606
0.8471936,0.8993684
0.855525,0.95519716
0.8465533,0.9175079
0.09575996,0.11269534
0.85355675,0.86598504
0.8334567,0.89726627
0.85037,0.89577174
0.10796538,0.0897795
0.09676564,0.11656343
0.08960444,0.10344137
0.08588615,0.07751523
0.093872145,0.080728464
0.87624276,0.87286144
0.10323727,0.09889162
0.0939269,0.084161565
0.87247956,0.9047239
0.8602386,0.88531446
0.10248515,0.13082145
0.8616816,0.9077366
0.090911165,0.14103723
0.08195116,0.10421523
0.86489403,0.91555
0.87597233,0.89683604
0.84904534,0.9044579
0.8472525,0.894306
0.8907598,0.8502557
0.10695711,0.11728568
0.8658195,0.8927295
0.84735554,0.89545417
0.85011333,0.8721916
0.84418464,0.8703803
0.10321521,0.12324602
0.84566444,0.85174
0.09758653,0.10279518
0.86810964,0.9225931
0.85195494,0.927717
0.8651066,0.89215547
0.10065417,0.11941102
0.06857786,0.094510905
0.85167825,0.92733085
0.8297698,0.8404596
0.86706525,0.91113424
0.8647884,0.92570746
0.08762889,0.12076842
0.8613398,0.91096914
0.8405104,0.8777422
0.8711088,0.92380553
0.0781815,0.100166276
0.103687555,0.07795456
0.8744406,0.88246965
0.10571474,0.10931227
0.8637991,0.9109128
0.8806003,0.91917855
0.86339164,0.87256163
0.10771338,0.15167695
0.13570443,0.12622482
0.83201736,0.7994531
0.10344334,0.09663743
0.8377249,0.8509949
0.086741045,0.10246538
0.07300362,0.11941102
0.08426461,0.11884954
0.09133576,0.12345091
0.85137045,0.87505853
0.8585169,0.86192584
0.07520002,0.114703655
0.8669443,0.8972986
0.85260737,0.8683342
0.09964927,0.110082984
0.08716356,0.11569107
0.111500695,0.14959337
0.081482455,0.10047401
0.8466935,0.86022997
0.0919306,0.118820384
0.09807367,0.13378409
0.8502958,0.9153207
0.095205344,0.103904344
0.8437504,0.83360755
0.85672927,0.880072
0.12781058,0.21942993
0.09121897,0.102931514
0.85198087,0.8797426
0.8540618,0.89763075
0.8451205,0.8929372
0.08690065,0.11904537
0.07176618,0.11986926
0.84812427,0.90251386
0.8669853,0.9075609
0.8813895,0.9242819
0.11587325,0.12837695
0.8347798,0.90895844
0.8508867,0.9354902
0.09114682,0.15564671
0.08732369,0.12030072
0.073165566,0.06409293
0.09058312,0.110463604
0.08841605,0.1110109
0.86202365,0.88363636
0.8703195,0.91527694
0.096717626,0.12911929
0.09336969,0.07560226
0.8758415,0.880323
0.09524116,0.12026683
0.094036944,0.11846616
0.8713252,0.90032583
0.08788894,0.08879564
0.8668216,0.9172581
0.0931125,0.085578464
0.080472626,0.10308951
0.8532074,0.88451976
0.08777605,0.094867885
0.09542361,0.104764886
0.83739454,0.88463634
0.85521823,0.9152955
0.85279036,0.8979672
0.8485045,0.86188483
0.8378137,0.87342966
0.08991328,0.11496805
0.10889943,0.122237325
0.09553261,0.10918698
0.8427396,0.8756952
0.8558261,0.92864925
0.0782321,0.14017904
0.08255665,0.11329701
0.09137469,0.12071444
0.107340954,0.12910274
0.09414361,0.12442414
0.08564687,0.121596254
0.8644134,0.88215876
0.8409218,0.881803
0.85323054,0.86303735
0.8640693,0.8960795
0.07275577,0.077648014
0.09374964,0.11457087
0.8629694,0.9036632
0.07734971,0.1582496
0.08652537,0.10429797
0.08678309,0.09206364
0.089753926,0.11523873
0.09639321,0.1638963
0.09718789,0.14673042
0.09362092,0.09623513
0.8756586,0.894925
0.84368634,0.8901846
0.06500388,0.07058086
0.85578924,0.9157821
0.86440873,0.88946825
0.10638718,0.081674114
0.08994831,0.1435814
0.86226994,0.8436354
0.08865871,0.10990725
0.8816755,0.88168395
0.084154055,0.10959991
0.09652869,0.14568824
0.8686417,0.8620531
0.085437946,0.09976674
0.09381401,0.1314708
0.8591673,0.9009283
0.86017114,0.87685645
0.105557986,0.1291315
0.09137079,0.094105065
0.8577154,0.9008369
0.8514465,0.8809472
0.86090195,0.8385931
0.8584364,0.8987596
0.8372393,0.8856285
0.07482111,0.07770475
0.09816736,0.0846734
0.034325913,0.076087296
0.8663954,0.880321
0.08761748,0.12851958
0.8603923,0.89358693
0.08550438,0.1263312
0.08713319,0.15760578
0.845393,0.8933978
0.85815305,0.8808782
0.8443133,0.88660604
0.8475554,0.9107367
0.09579084,0.10530982
0.08458461,0.12104542
0.109838665,0.15036486
0.09954935,0.19440137
0.104897484,0.10466914
0.09736982,0.15297052
0.86934835,0.8873504
0.83543354,0.8832577
0.8465136,0.8865174
0.8575325,0.87028414
0.847218,0.8939045
0.8553195,0.90463763
0.09064281,0.10796591
0.86841536,0.89429855
0.84993345,0.90312064
0.8507071,0.81789404
0.09040482,0.1174086
0.83168775,0.8803829
0.8515786,0.9091042
0.091146044,0.104121454
0.83284,0.84359956
0.84183615,0.8938068
0.07467084,0.08605444
0.09160463,0.080104336
0.079473175,0.10544615
0.8519801,0.88891464
0.06907045,0.08953167
0.869482,0.8956138
0.8492753,0.8768009
0.09107778,0.10795212
0.8537685,0.87070733
0.8597647,0.86594874
0.83316237,0.8726026
0.87519735,0.8891203
0.8526564,0.8881309
0.8694976,0.88638186
0.11166497,0.12169949
0.83573383,0.8903244
0.076632366,0.12078063
0.8726125,0.872854
0.08665332,0.07561132
0.8400949,0.8889942
0.10068298,0.117838874
0.8591395,0.89557475
0.08390594,0.10061861
0.84416175,0.9068209
0.8508618,0.91648936
0.8699076,0.8927425
0.8486586,0.9017912
0.097709544,0.08584994
0.07525841,0.11702168
0.8345711,0.85208714
0.10469842,0.12395013
0.8415395,0.9348105
0.0938423,0.12564363
0.8535336,0.90598756
0.09083045,0.12826702
0.083656535,0.10227862
0.85465765,0.8821844
0.86223674,0.8994728
0.100460045,0.119416535
0.8544633,0.90867513
0.088545814,0.11298849
0.87408245,0.9025182
0.09617729,0.10993562
0.093411736,0.11173314
0.8446035,0.86518043
0.8658268,0.91278005
0.85955423,0.8951189
0.8849622,0.90904593
0.11255075,0.12886278
0.8683544,0.91668284
0.86381465,0.8983175
0.08812174,0.090651475
0.089679696,0.11927705
0.10316797,0.13436487
0.84509814,0.9017979
0.10339922,0.12020182
0.095429316,0.10486773
0.08928391,0.111377336
0.060426034,0.092854835
0.86035436,0.9265885
0.079831325,0.08015792
0.8385832,0.9175946
0.85990405,0.8831848
0.8480872,0.8851825
0.86105144,0.9037357
0.87298876,0.90739024
0.074568324,0.11763635
0.8514356,0.8917181
0.08173965,0.11113462
0.8368093,0.87565464
0.85730124,0.9286926
0.8591465,0.89772415
0.8462183,0.85147244
0.8521729,0.89981675
0.08658117,0.16046952
0.066802934,0.11604963
0.90119004,0.92019904
0.86550754,0.87519485
0.08324726,0.10807387
0.1044337,0.08055313
0.8713867,0.8716837
0.85358167,0.90307534
0.8517276,0.88543385
0.09229212,0.11214528
0.8385266,0.87248045
0.103470586,0.115409344
0.86004317,0.8884501
0.86489403,0.89309245
0.08024035,0.10218878
0.09439924,0.09392027
0.85618913,0.8966717
0.8638227,0.91363823
0.09529514,0.1093966
0.11578423,0.103999704
0.10033313,0.13413517
0.83792347,0.89038825
0.12272847,0.112938054
0.079229735,0.111220516
0.85757166,0.9119467
0.84817797,0.89892745
0.85183555,0.9036857
0.8637506,0.89639866
