model1_loss,model2_loss
0.21713431,0.49468762
0.21836922,0.55293745
0.23065943,0.64621633
0.20832679,0.5897895
0.20637955,0.49279988
0.8142742,0.42602718
0.2446221,0.55683744
0.21726893,0.45771912
0.7742716,0.37365228
0.7655347,0.5301152
0.75695205,0.38364014
0.82863754,0.66622066
0.21656919,0.4456231
0.7734545,0.57037413
0.74266243,0.58360577
0.8088161,0.36577383
0.22803073,0.4822691
0.20059526,0.4600626
0.20796058,0.46932635
0.20000854,0.7345642
0.21494019,0.539105
0.80586344,0.40705326
0.15920776,0.48644245
0.765721,0.3211348
0.8587605,0.45294994
0.2684677,0.31896192
0.76066256,0.39106348
0.798759,0.38406163
0.21173632,0.56015843
0.2630766,0.5993191
0.22344041,0.4250858
0.23032273,0.41560227
0.8270907,0.61403567
0.79939365,0.32220322
0.22238046,0.41978806
0.78928185,0.4290406
0.8193948,0.47777763
0.25472358,0.51614016
0.76935035,0.51416147
0.2314458,0.5726479
0.8091487,0.53880113
0.79271233,0.4127856
0.16919278,0.5781063
0.7587107,0.29220727
0.21695518,0.52219874
0.1850691,0.60852
0.76006657,0.42914522
0.81671536,0.45425367
0.2768402,0.4773829
0.20688953,0.28095365
0.7588056,0.59177935
0.8012439,0.5207561
0.73748404,0.31839347
0.75799656,0.43967286
0.70662737,0.28091443
0.2317675,0.46078545
0.20804602,0.5881234
0.7443425,0.3968892
0.8248078,0.30692133
0.76694965,0.48711547
0.2179258,0.4978872
0.22865118,0.53002924
0.23278564,0.6907956
0.7988813,0.4740694
0.25941435,0.5057793
0.7835795,0.14958182
0.7983199,0.2548789
0.8392139,0.43433276
0.24604513,0.6119406
0.23205157,0.5855508
0.8250926,0.34968132
0.78190154,0.45502695
0.24095383,0.5231183
0.84847206,0.49884537
0.78366214,0.47239643
0.22151417,0.5933633
0.7657432,0.42072383
0.20984516,0.45617068
0.79035753,0.4502584
0.76895654,0.4613601
0.7792323,0.43071917
0.778368,0.43173587
0.2385302,0.55858636
0.2163061,0.37156844
0.27062404,0.46749404
0.18785235,0.43527228
0.74783194,0.53976434
