model1_loss,model2_loss
0.7254369,0.81371415
0.69818956,0.84213954
0.77624947,0.85737354
0.7466363,0.85960084
0.7123529,0.8684182
0.716635,0.82580596
0.22958983,0.22039554
0.72341835,0.85403085
0.7420123,0.8343096
0.75869364,0.8437506
0.72918254,0.8107211
0.7352211,0.81283796
0.73705745,0.78571826
0.22229098,0.23561934
0.7218689,0.83247095
0.72056204,0.8671973
0.21611065,0.22142793
0.7467856,0.8580757
0.20321168,0.22642386
0.18563737,0.2532326
0.19844756,0.24104898
0.7571994,0.764725
0.695436,0.8499576
0.24349786,0.20271334
0.20064756,0.2501502
0.75380254,0.8386002
0.8233559,0.8308891
0.22348353,0.22910385
0.20665352,0.26849017
0.7196151,0.85529226
0.77034146,0.83274007
0.8253891,0.8031071
0.19953464,0.25665513
0.71982896,0.85783714
0.7023887,0.84468204
0.7092156,0.8427924
0.20739655,0.2511379
0.16429466,0.23774287
0.19201453,0.2372353
0.7965631,0.86412436
0.20468311,0.2174359
0.71798426,0.82034117
0.78130084,0.8498538
0.7337496,0.8310513
0.21298203,0.2360819
0.7308985,0.83765435
0.7150136,0.80215454
0.2132935,0.20698607
0.22691381,0.25344542
0.7850782,0.7988326
0.76086396,0.884069
0.20270675,0.23956037
0.16925867,0.24141832
0.7334067,0.8062416
0.7366628,0.86773545
0.71133834,0.8140849
0.2260886,0.23522644
0.20783629,0.23975559
0.1958518,0.2015209
0.20154133,0.2522206
0.24418564,0.22249901
0.7373222,0.86477757
0.21272884,0.22530036
0.20885208,0.26283294
0.7063451,0.83271223
0.72824395,0.87452775
0.22801244,0.2561029
0.20021729,0.24476945
0.21377692,0.2430318
0.74983567,0.79647094
0.7165231,0.8811073
0.71292776,0.82799983
0.7228187,0.8303925
0.18629177,0.2524672
0.21546525,0.25865307
0.7402339,0.8249069
0.19311959,0.23028222
0.19644776,0.22440761
0.19071473,0.25929996
0.20936535,0.240222
0.7012406,0.7987605
0.20578833,0.22397286
0.20935732,0.24087591
0.18503499,0.23306528
0.19015826,0.21759278
0.72870314,0.8330724
0.76294947,0.7697027
0.19634148,0.2291654
0.17856874,0.2219647
0.753592,0.8498623
0.2264845,0.27117756
0.7747247,0.8204231
0.72930646,0.82027465
0.2144321,0.2246141
0.20132588,0.24148057
0.7695859,0.8329747
0.72568417,0.84871906
0.20730856,0.18590736
0.7318778,0.82661784
0.74324304,0.8024071
0.2107899,0.23237549
0.7420661,0.82639796
0.2313774,0.23425138
0.681886,0.8531821
0.7264543,0.8193883
0.6937443,0.7991798
0.73420644,0.85255986
0.70768213,0.85355
0.24619845,0.23843195
0.20731273,0.23359677
0.18948829,0.22165692
0.7197098,0.8552377
0.2522147,0.18951035
0.18708825,0.2511724
0.7166514,0.8405665
0.20646055,0.18948361
0.18569581,0.24681348
0.19026825,0.24530236
0.73226637,0.8560112
0.14471462,0.26656678
0.19007076,0.19402649
0.7243221,0.78850025
