model1_loss,model2_loss
0.8614148,0.19452986
0.78032994,0.2013179
0.7050915,0.32182825
0.7369746,0.25224164
0.8119521,0.19685487
0.1315406,0.78673965
0.75663924,0.23369588
0.83050275,0.2011577
0.15123452,0.7659001
0.104429685,0.75490546
0.1094451,0.7675118
0.14394103,0.8789284
0.8453992,0.21522631
0.15829633,0.8288064
0.18120004,0.80908495
0.12976512,0.7639208
0.8574662,0.25242898
0.7628249,0.17815892
0.8406565,0.24869263
0.8163691,0.24591415
0.8078583,0.2829663
0.1450459,0.85900396
0.8001665,0.2250679
0.2195269,0.74045473
0.124391034,0.8664563
0.8269305,0.22234406
0.18679546,0.84717524
0.17896013,0.82375425
0.8846099,0.2495981
0.80662334,0.3596892
0.8380849,0.25695783
0.7939754,0.1861985
0.09688314,0.85630655
0.17286626,0.6965785
0.8414005,0.19283527
0.1827151,0.7435466
0.13412921,0.8503596
0.8608815,0.27031425
0.11905319,0.81852806
0.7343157,0.21379524
0.114601605,0.8035473
0.12640417,0.6729352
0.7843821,0.16512999
0.16247895,0.7911804
0.90471643,0.20866537
0.7934943,0.21271099
0.1503145,0.8039268
0.13284881,0.7926794
0.72985023,0.20141083
0.86642736,0.1641892
0.14008562,0.8322506
0.16339692,0.84460306
0.2706152,0.7529224
0.21403567,0.8123147
0.17963852,0.717353
0.8745664,0.1688604
0.8067248,0.19759159
0.15566567,0.697639
0.21360154,0.75067025
0.10151995,0.8222057
0.6880905,0.1326037
0.7872925,0.23124003
0.8225892,0.21763606
0.11143053,0.83687276
0.81071,0.30659473
0.287476,0.7462574
0.16737619,0.75367105
0.073382474,0.80264145
0.7598168,0.22036102
0.7971136,0.21967225
0.12406084,0.6830518
0.1779148,0.756254
0.7753223,0.19299918
0.12924322,0.838806
0.17322686,0.7940507
0.8902975,0.22554071
0.1736184,0.77982485
0.7691285,0.25769976
0.14969346,0.74013734
0.20769198,0.80511147
0.17168398,0.75170916
0.12329923,0.7459062
0.8684766,0.23816821
0.8435784,0.13634007
0.8149372,0.29519606
0.884877,0.15514417
0.1304158,0.836155
0.15056637,0.7454014
0.17456472,0.7634353
0.14937672,0.77022856
0.103910126,0.80859804
0.16175178,0.8441381
0.16269667,0.7905113
0.80133677,0.26966265
0.13912301,0.81533515
0.12153255,0.81612355
0.8841114,0.24689284
0.73727643,0.29071778
0.8466084,0.19408903
0.8566036,0.17841169
0.15367208,0.8107851
0.12442041,0.77696234
0.13054368,0.7448784
0.16854747,0.69469994
0.1424437,0.7586266
0.14572105,0.72371286
0.18944672,0.7597454
0.8440962,0.20773463
0.8385288,0.22976883
0.8823327,0.16090223
0.82348686,0.22994651
0.7460038,0.2590334
0.09043991,0.7477844
0.15641536,0.79948866
0.21198294,0.7624384
0.72619355,0.27228725
0.17127626,0.7590518
0.13974132,0.7826803
0.862398,0.25401133
0.77618384,0.1964906
0.15522234,0.74824977
0.19210108,0.8147742
0.20323186,0.7207043
