model1_loss,model2_loss
"tensor([0.5590, 0.4397, 0.3787,  ..., 0.3645, 0.3727, 0.4477])","tensor([0.3856, 0.4917, 0.5309,  ..., 0.4690, 0.3925, 0.3958])"
"tensor([0.5957, 0.4862, 0.4269,  ..., 0.3523, 0.3262, 0.4053])","tensor([0.5550, 0.6052, 0.7351,  ..., 0.4382, 0.3917, 0.3340])"
"tensor([0.4333, 0.3772, 0.3323,  ..., 0.4746, 0.4626, 0.5221])","tensor([0.3389, 0.3705, 0.5313,  ..., 0.4772, 0.4451, 0.3769])"
"tensor([0.3698, 0.3201, 0.3122,  ..., 0.5344, 0.5116, 0.5910])","tensor([0.6060, 0.5670, 0.7727,  ..., 0.4835, 0.3950, 0.3334])"
