model1_loss,model2_loss
0.6951707,0.0031061177
0.121877834,0.98720914
0.13786756,0.97584313
0.6866318,0.004571619
0.15772079,0.99551964
0.7296127,0.0038087547
0.66438234,0.011698886
0.18763164,0.9923706
0.15200946,0.9901822
0.694937,0.0024030008
0.715414,0.007287379
0.16212136,0.9843404
0.6911973,0.0076246965
0.18727899,0.9896618
0.16065723,0.9819894
0.16935454,0.98523307
0.20159538,0.9739175
0.70029736,0.0039014309
0.16191106,0.9926765
0.15865913,0.98269105
0.70347106,0.007477786
0.21935333,0.98407245
0.20278466,0.9566694
0.17761752,0.98819566
0.1821129,0.9809559
0.16424382,0.9841087
0.76706743,0.0039971676
0.6934404,0.003610361
0.7006943,0.006808632
0.6711657,0.0028628947
0.7197599,0.0076634795
0.13247685,0.9927062
0.1659827,0.9915958
0.70426786,0.005082697
0.7503613,0.0022586389
0.65876085,0.007347244
0.7026173,0.0032775542
0.72942054,0.002466747
0.17346147,0.98590726
0.6260126,0.014905986
0.68632835,0.003943967
0.6317023,0.0048615583
0.7007306,0.0034084376
0.124203384,0.9672652
0.7418849,0.003083234
0.7125253,0.0056527555
0.80728304,0.0045361947
0.6963312,0.0055613164
0.1515602,0.9829482
0.17323378,0.99031025
0.6904435,0.0027414593
0.72623813,0.0023197406
0.241577,0.97386277
0.80147403,0.00403771
0.7135635,0.007630444
0.70807326,0.0034065288
0.15837015,0.9809832
0.20041679,0.98218393
0.22451012,0.9800631
0.7215092,0.001413762
0.8016078,0.0014541872
0.23543154,0.98020095
0.7986642,0.0035781572
0.7268541,0.0027864377
0.18360212,0.9791013
0.20999184,0.9822261
0.17628342,0.98235136
0.730655,0.0050151125
0.73350525,0.003021983
0.13217995,0.9876007
0.18079293,0.9851235
0.20002578,0.9695039
0.72485554,0.003253924
0.8289741,0.0031381294
0.2179165,0.98125315
0.23241255,0.9762616
0.70133406,0.0038324383
0.62741894,0.0044008326
0.73267376,0.0027271488
0.10658404,0.98900616
0.14807427,0.98847485
0.6350273,0.00857672
0.69173884,0.009632797
0.11937038,0.98932564
0.66806316,0.006455682
0.19581534,0.97185475
0.7076906,0.0026063637
0.6268348,0.0051114354
0.70603055,0.002931173
0.7172452,0.0022593853
0.18890356,0.973249
0.05214247,0.9824445
0.7857938,0.0039897454
0.71626467,0.006905126
0.72534513,0.0022665404
0.1135319,0.99246645
0.20109947,0.98118216
0.1934804,0.9727087
0.7535358,0.0020974607
0.7154641,0.0030815278
0.7235077,0.002727618
0.66190106,0.0040305015
0.7488002,0.0021999793
0.15872587,0.98775023
0.21665843,0.9737961
0.60691684,0.0038460447
0.62607867,0.0068772836
0.724152,0.0029441183
0.07278624,0.9848758
0.7313717,0.002286737
0.14180195,0.97274685
0.24604459,0.96068114
0.5970854,0.013527254
0.13984074,0.9938142
0.17611217,0.9884844
0.21025048,0.9659838
0.18340084,0.9882986
0.15122633,0.9906275
0.69889265,0.005891233
0.14914647,0.9826058
0.64260745,0.0074318903
0.11301611,0.9885356
0.14041041,0.9702321
0.72481614,0.010860034
0.16091953,0.99053305
0.57027674,0.00319841
0.12272414,0.98957515
0.19757892,0.98649085
0.6308777,0.0058436636
0.73506343,0.0061338376
0.15734124,0.9795262
0.15872212,0.9925587
0.6997396,0.006986776
0.7053568,0.0037492737
0.16743,0.9860062
0.2329835,0.979231
0.2200716,0.96316755
0.6671865,0.005440947
0.73421687,0.0027860324
0.18645304,0.98190725
0.5662716,0.005259572
0.15935674,0.9884767
0.7895893,0.004494319
0.7168952,0.0027789413
0.16429147,0.98984224
0.14869851,0.9904433
0.17039026,0.9870561
0.6807694,0.0064891763
0.12683918,0.9911616
0.71298295,0.0026299513
0.16667289,0.9866256
0.6714931,0.0038409475
0.7588667,0.0012724817
0.18303514,0.9806
0.6596471,0.00637914
0.15318805,0.9733108
0.7395414,0.004545717
0.7539769,0.0022173072
0.19306278,0.9866311
0.2703756,0.97985107
0.68859994,0.0035227498
0.6599761,0.0071515907
0.75853807,0.003009656
0.70833397,0.0020811562
0.14102052,0.97898835
0.1642112,0.9835983
0.7095828,0.005668633
0.12705074,0.9791008
0.1602154,0.9816446
0.1452613,0.9839262
0.7074807,0.0021521002
0.20753707,0.9822605
0.15958868,0.9874474
0.14196242,0.9837395
0.670412,0.0076325447
0.1712263,0.98890895
0.26791617,0.97742116
0.6503734,0.004946962
0.14051768,0.9898573
0.19318607,0.97231793
0.72206753,0.003188397
0.21871623,0.9716679
0.17644972,0.9784931
0.13914393,0.9874831
0.3289136,0.9822844
0.7283682,0.0021902968
0.6796,0.0049871844
0.762432,0.002562057
0.68170154,0.00277008
0.71164775,0.0032870234
0.7667428,0.0040755332
0.7172186,0.0041411775
0.20708299,0.9721766
0.6876883,0.0059496476
0.6726072,0.0075027063
0.6936226,0.0033924317
0.20585822,0.98494565
0.7399325,0.0030288715
0.1932012,0.98174244
0.69948006,0.005808783
0.8041394,0.0034868033
0.6616364,0.005083316
0.15116651,0.9824297
0.15488707,0.9948301
0.2128748,0.98142743
0.17592236,0.98087186
0.17279431,0.98358285
0.7104402,0.0033089474
0.1608248,0.9874588
0.64849454,0.0043807747
0.7574466,0.007071796
0.6462555,0.005638562
0.15034918,0.99276406
0.7357133,0.0019069792
0.17875607,0.97884786
0.14588486,0.98693186
0.64784145,0.005789376
0.7120558,0.0040309066
0.7167675,0.0040609776
0.13107294,0.9898391
0.5889485,0.0045041083
0.20675246,0.97874177
0.6564318,0.0032311787
0.6871592,0.005751499
0.7507358,0.0030875953
0.19571519,0.97186774
0.7016477,0.0024012947
0.2051539,0.9911463
0.7126726,0.0026799843
0.68789214,0.0063760155
0.7061541,0.0056167766
0.15713589,0.99035394
0.07535386,0.98840165
0.23500088,0.9770897
0.73533595,0.0023014634
0.6145095,0.004146893
