model1_loss,model2_loss
0.51142496,0.99087167
0.53853554,0.97442627
0.5904401,0.68743664
0.47491172,0.96982086
0.58714086,0.9819828
0.35786277,0.021536525
0.5355229,0.90395516
0.53418547,0.9792726
0.3881889,0.02218873
0.39323846,0.0085965
0.134342,0.041738987
0.38210207,0.018127052
0.53868777,0.75214523
0.38063526,0.029149229
0.37223068,0.0356766
0.37764618,0.023160914
0.5676442,0.96570504
0.5481608,0.9464583
0.5076008,0.96838695
0.51468486,0.9457808
0.53512746,0.95155257
0.34718657,0.23629902
0.50750124,0.6726023
0.38965413,0.07649001
0.3921332,0.023014184
0.58779085,0.9741457
0.3933563,0.01741553
0.4319803,0.019384066
0.5939529,0.7021445
0.5394133,0.6799837
0.5275089,0.96804893
0.5527994,0.98180044
0.36429858,0.013094445
0.39872804,0.043281615
0.5318369,0.9768055
0.38878667,0.04333701
0.3696812,0.023210034
0.580803,0.9532317
0.3514799,0.0096394615
0.6117008,0.6646657
0.37549326,0.022766862
0.36900353,0.1478079
0.5501654,0.9603281
0.40670136,0.029798293
0.5436739,0.9688201
0.5176096,0.86594975
0.3793628,0.010315204
0.39056408,0.020277001
0.5323612,0.9170515
0.53298116,0.9769546
0.32135883,0.020049294
0.40706688,0.0149625465
0.38224036,0.2509058
0.42104217,0.067317106
0.34520143,0.20663945
0.5625564,0.99127275
0.5547641,0.71157855
0.3701572,0.23660518
0.39139965,0.023305448
0.40301007,0.0058138077
0.557115,0.96279097
0.51483035,0.9723091
0.539844,0.96077424
0.3836877,0.008689247
0.53434974,0.6794652
0.36612046,0.2181467
0.37938112,0.036199335
0.37791684,0.027284423
0.50992274,0.9711143
0.5259669,0.99520326
0.35513788,0.19786577
0.35721955,0.024884954
0.5098148,0.99136084
0.3442023,0.02105161
0.38612628,0.036188822
0.55398667,0.9642126
0.37115422,0.007868343
0.5674312,0.7340736
0.37704557,0.023617426
0.36006877,0.017923513
0.33871582,0.019347973
0.36146417,0.07433786
0.52765346,0.95777357
0.5367597,0.9707196
0.5565285,0.69389653
0.5348846,0.9729543
0.35765263,0.040930636
0.3721456,0.26609936
0.38396445,0.016339298
0.39622924,0.020342128
0.048196916,0.21021543
0.36044204,0.25990608
0.39740124,0.2062181
0.55613846,0.7053747
0.34727225,0.007781874
0.3716789,0.020945525
0.5309461,0.9669134
0.597645,0.6825184
0.5669404,0.9706898
0.5263466,0.96485007
0.37879646,0.022455355
0.3820689,0.009036377
0.39385444,0.018082485
0.3701812,0.21334666
0.4157699,0.051417995
0.35592547,0.22341062
0.4087297,0.043462556
0.5704436,0.9653624
0.502565,0.9867852
0.55912966,0.98929214
0.48960322,0.927916
0.5909287,0.7004848
0.3066857,0.26329264
0.396145,0.024005516
0.37015268,0.018142901
0.6104283,0.6931464
0.34487277,0.08423234
0.37024638,0.0053141406
0.5766055,0.83827394
0.51671684,0.9662516
0.37086478,0.1821873
0.37777954,0.018239414
0.34757185,0.22385003
0.32647628,0.22219582
0.3600232,0.0062416005
0.34522176,0.24515525
0.48236346,0.975973
0.37268043,0.01164017
0.195535,0.2703321
0.37581062,0.083920516
0.38216248,0.028205292
0.36897984,0.008034846
0.5347947,0.8558544
0.52976996,0.98978037
0.53039,0.9829468
0.5376184,0.9406675
0.6344253,0.7194105
0.51868564,0.97305363
0.3864407,0.0059793694
0.39539507,0.047340624
0.56752294,0.7011941
0.59258115,0.70981497
0.37429655,0.24545796
0.5518065,0.9659897
0.411793,0.025985038
0.5201643,0.8146833
0.35333675,0.017885223
0.57383245,0.7509358
0.5195702,0.9916406
0.56885374,0.6859687
0.54449826,0.96551764
0.3859603,0.020844148
0.5432278,0.9686151
0.35210308,0.06732966
0.5150714,0.96656185
0.37983823,0.102326274
0.36570767,0.089359105
0.5447292,0.93239176
0.38143542,0.022194065
0.5004661,0.9704887
0.36237904,0.009049559
0.30394936,0.032075044
0.5475267,0.977517
0.36086482,0.021427773
0.54897517,0.79126364
0.36626932,0.006124373
0.5102407,0.9659387
0.33188388,0.21629602
0.3500646,0.22337735
0.5506966,0.9917721
0.5363099,0.9839049
0.39419284,0.020974401
0.36412868,0.0068310318
0.54028684,0.7859244
0.5596947,0.7096094
0.55012167,0.9900657
0.38489598,0.024091983
0.54519403,0.9652416
0.38288754,0.033882257
0.53512985,0.71295404
0.3862259,0.20941383
0.5423703,0.665201
0.37991554,0.0761038
0.54829186,0.99063957
0.3791848,0.16756955
0.4847065,0.9874633
0.5157928,0.935102
0.35602185,0.027041651
